passenger_id,gender,age_group,state,travel_type,occupation,travel_frequency
P06589,Female,18-25,Maharashtra,Personal,Government Employee,Medium
P06590,Male,18-25,Andhra Pradesh,Business,Doctor,High
P06591,Male,50+,Delhi,Personal,IT Employee,High
P06592,Female,50+,Tamil Nadu,Business,Doctor,Medium
P06593,Male,26-35,Maharashtra,Personal,Student,Low
P06594,Male,18-25,Andhra Pradesh,Business,Doctor,High
P06595,Male,18-25,Telangana,Personal,Teacher,Low
P06596,Female,26-35,Andhra Pradesh,Business,Teacher,High
P06597,Male,26-35,Telangana,Business,Student,Low
P06598,Male,26-35,Telangana,Personal,Government Employee,Medium
P06599,Female,36-50,Delhi,Personal,IT Employee,Low
P06600,Male,50+,Andhra Pradesh,Personal,IT Employee,High
P06601,Female,26-35,Telangana,Personal,Government Employee,Low
P06602,Male,50+,Delhi,Business,Doctor,Low
P06603,Female,36-50,Tamil Nadu,Personal,Government Employee,High
P06604,Male,26-35,Maharashtra,Personal,Student,Low
P06605,Male,50+,Andhra Pradesh,Business,Doctor,High
P06606,Male,26-35,Delhi,Personal,Student,High
P06607,Female,36-50,Delhi,Personal,Student,High
P06608,Male,26-35,Delhi,Business,Student,Low
P06609,Female,26-35,Tamil Nadu,Business,Student,High
P06610,Male,18-25,Telangana,Business,Teacher,Medium
P06611,Female,26-35,Andhra Pradesh,Business,IT Employee,Medium
P06612,Female,36-50,Andhra Pradesh,Business,Student,Low
P06613,Male,36-50,Delhi,Personal,Government Employee,High
P06614,Male,36-50,Karnataka,Business,Doctor,High
P06615,Male,36-50,Karnataka,Business,IT Employee,High
P06616,Male,26-35,Telangana,Personal,Student,High
P06617,Female,50+,Karnataka,Business,IT Employee,Low
P06618,Male,18-25,Delhi,Personal,IT Employee,High
P06619,Male,50+,Telangana,Personal,Student,Medium
P06620,Male,50+,Delhi,Personal,Doctor,Medium
P06621,Male,36-50,Telangana,Business,Teacher,High
P06622,Female,50+,Tamil Nadu,Business,IT Employee,High
P06623,Female,26-35,Delhi,Business,IT Employee,Medium
P06624,Male,50+,Maharashtra,Personal,Teacher,Low
P06625,Male,50+,Telangana,Business,Teacher,High
P06626,Female,36-50,Karnataka,Personal,IT Employee,Medium
P06627,Female,36-50,Maharashtra,Business,Business Owner,Low
P06628,Female,50+,Andhra Pradesh,Business,Government Employee,Medium
P06629,Female,26-35,Maharashtra,Personal,Doctor,High
P06630,Female,36-50,Karnataka,Business,IT Employee,Low
P06631,Male,36-50,Delhi,Personal,Teacher,High
P06632,Female,50+,Maharashtra,Business,Government Employee,High
P06633,Male,26-35,Maharashtra,Personal,Doctor,Medium
P06634,Male,26-35,Telangana,Business,Student,Low
P06635,Male,50+,Tamil Nadu,Business,IT Employee,High
P06636,Female,36-50,Telangana,Business,Government Employee,Medium
P06637,Female,36-50,Telangana,Business,Teacher,High
P06638,Female,50+,Maharashtra,Business,Government Employee,Medium
P06639,Male,18-25,Andhra Pradesh,Personal,Student,High
P06640,Male,36-50,Delhi,Personal,Student,Medium
P06641,Male,26-35,Telangana,Business,Doctor,Low
P06642,Female,26-35,Delhi,Personal,Government Employee,Medium
P06643,Male,26-35,Karnataka,Personal,Teacher,High
P06644,Female,18-25,Karnataka,Business,Teacher,High
P06645,Female,26-35,Andhra Pradesh,Personal,Student,Low
P06646,Male,36-50,Maharashtra,Personal,Teacher,Low
P06647,Male,36-50,Delhi,Business,Student,High
P06648,Male,26-35,Telangana,Personal,Government Employee,Low
P06649,Male,50+,Telangana,Business,Student,High
P06650,Female,36-50,Maharashtra,Personal,Student,Medium
P06651,Female,36-50,Delhi,Business,Government Employee,High
P06652,Female,26-35,Karnataka,Personal,Student,Medium
P06653,Female,36-50,Karnataka,Personal,Government Employee,Medium
P06654,Male,50+,Tamil Nadu,Business,Business Owner,Low
P06655,Female,18-25,Telangana,Personal,Student,Medium
P06656,Male,36-50,Tamil Nadu,Business,Government Employee,High
P06657,Male,36-50,Karnataka,Business,IT Employee,Low
P06658,Female,50+,Telangana,Personal,Doctor,High
P06659,Male,36-50,Delhi,Personal,Government Employee,Low
P06660,Male,50+,Andhra Pradesh,Personal,Doctor,Low
P06661,Female,18-25,Karnataka,Business,Government Employee,Medium
P06662,Female,50+,Delhi,Personal,Business Owner,Low
P06663,Male,26-35,Delhi,Personal,Doctor,Medium
P06664,Male,36-50,Andhra Pradesh,Personal,Student,Medium
P06665,Male,26-35,Tamil Nadu,Business,Teacher,Low
P06666,Female,18-25,Tamil Nadu,Business,Government Employee,Low
P06667,Female,18-25,Tamil Nadu,Business,Doctor,High
P06668,Female,50+,Tamil Nadu,Business,Doctor,Medium
P06669,Female,36-50,Tamil Nadu,Personal,Student,Medium
P06670,Female,50+,Karnataka,Personal,Doctor,Low
P06671,Female,36-50,Telangana,Personal,Teacher,High
P06672,Male,26-35,Delhi,Personal,Teacher,Low
P06673,Female,50+,Delhi,Personal,IT Employee,Medium
P06674,Female,26-35,Andhra Pradesh,Personal,Government Employee,High
P06675,Male,36-50,Telangana,Personal,Teacher,Low
P06676,Female,18-25,Karnataka,Business,Teacher,High
P06677,Male,50+,Telangana,Business,IT Employee,High
P06678,Male,36-50,Andhra Pradesh,Personal,Government Employee,High
P06679,Male,50+,Telangana,Business,Student,Low
P06680,Female,50+,Andhra Pradesh,Personal,Student,High
P06681,Male,36-50,Andhra Pradesh,Business,Government Employee,High
P06682,Female,36-50,Tamil Nadu,Business,Student,High
P06683,Male,36-50,Delhi,Business,Doctor,Medium
P06684,Female,26-35,Maharashtra,Personal,Teacher,Medium
P06685,Female,26-35,Delhi,Personal,IT Employee,High
P06686,Female,36-50,Andhra Pradesh,Business,Business Owner,Low
P06687,Male,36-50,Tamil Nadu,Business,Business Owner,Medium
P06688,Male,36-50,Tamil Nadu,Business,Business Owner,Low
P06689,Female,50+,Karnataka,Personal,Doctor,Low
P06690,Male,26-35,Andhra Pradesh,Business,IT Employee,High
P06691,Male,50+,Telangana,Business,Doctor,High
P06692,Male,18-25,Karnataka,Personal,Business Owner,High
P06693,Male,18-25,Telangana,Business,IT Employee,Medium
P06694,Male,50+,Telangana,Business,IT Employee,High
P06695,Male,18-25,Tamil Nadu,Business,Student,Low
P06696,Male,36-50,Delhi,Business,Government Employee,High
P06697,Female,36-50,Karnataka,Personal,Teacher,Low
P06698,Male,50+,Telangana,Business,Teacher,Low
P06699,Male,18-25,Maharashtra,Business,Business Owner,Medium
P06700,Male,50+,Delhi,Business,IT Employee,Medium
P06701,Female,18-25,Telangana,Business,Teacher,Medium
P06702,Female,26-35,Karnataka,Business,Teacher,High
P06703,Male,50+,Delhi,Business,Doctor,High
P06704,Male,18-25,Karnataka,Personal,Teacher,High
P06705,Male,36-50,Tamil Nadu,Business,Business Owner,Medium
P06706,Male,50+,Delhi,Business,Doctor,Medium
P06707,Female,26-35,Telangana,Business,Doctor,High
P06708,Female,26-35,Andhra Pradesh,Business,Student,Medium
P06709,Female,26-35,Delhi,Personal,IT Employee,Medium
P06710,Male,36-50,Maharashtra,Personal,IT Employee,Medium
P06711,Male,18-25,Andhra Pradesh,Personal,IT Employee,Medium
P06712,Female,36-50,Tamil Nadu,Personal,IT Employee,Medium
P06713,Female,36-50,Maharashtra,Personal,Doctor,Low
P06714,Male,18-25,Andhra Pradesh,Business,Business Owner,High
P06715,Female,26-35,Delhi,Personal,Doctor,Low
P06716,Male,26-35,Andhra Pradesh,Business,Teacher,High
P06717,Female,36-50,Delhi,Business,Student,High
P06718,Male,50+,Delhi,Business,IT Employee,Medium
P06719,Male,36-50,Delhi,Personal,IT Employee,Medium
P06720,Female,50+,Tamil Nadu,Business,Teacher,Low
P06721,Female,36-50,Telangana,Personal,Business Owner,High
P06722,Female,36-50,Andhra Pradesh,Business,Student,Medium
P06723,Male,36-50,Karnataka,Business,IT Employee,High
P06724,Male,26-35,Delhi,Business,Business Owner,Medium
P06725,Female,26-35,Delhi,Business,IT Employee,High
P06726,Female,26-35,Andhra Pradesh,Personal,Business Owner,Medium
P06727,Male,18-25,Maharashtra,Personal,Business Owner,Medium
P06728,Male,18-25,Telangana,Business,IT Employee,High
P06729,Male,18-25,Karnataka,Business,Business Owner,Low
P06730,Male,18-25,Telangana,Business,Business Owner,Low
P06731,Female,50+,Karnataka,Personal,Student,Low
P06732,Female,18-25,Andhra Pradesh,Personal,Doctor,High
P06733,Female,36-50,Telangana,Business,IT Employee,Low
P06734,Female,36-50,Telangana,Personal,IT Employee,High
P06735,Female,26-35,Telangana,Business,Teacher,Low
P06736,Female,50+,Telangana,Personal,Doctor,Low
P06737,Male,18-25,Karnataka,Personal,IT Employee,Low
P06738,Male,36-50,Tamil Nadu,Personal,Business Owner,Medium
P06739,Female,36-50,Delhi,Business,Doctor,Low
P06740,Male,50+,Tamil Nadu,Business,Government Employee,Low
P06741,Male,36-50,Tamil Nadu,Personal,IT Employee,Medium
P06742,Female,50+,Maharashtra,Personal,Business Owner,Medium
P06743,Female,26-35,Delhi,Business,Government Employee,Medium
P06744,Female,18-25,Karnataka,Personal,Business Owner,High
P06745,Male,36-50,Andhra Pradesh,Business,IT Employee,Medium
P06746,Male,50+,Andhra Pradesh,Personal,Teacher,Low
P06747,Male,26-35,Karnataka,Personal,IT Employee,High
P06748,Male,26-35,Telangana,Personal,Student,Low
P06749,Male,50+,Delhi,Business,Teacher,Medium
P06750,Male,36-50,Maharashtra,Business,Teacher,High
P06751,Female,26-35,Maharashtra,Business,Business Owner,High
P06752,Female,36-50,Tamil Nadu,Business,Teacher,Medium
P06753,Male,36-50,Karnataka,Business,Government Employee,Low
P06754,Female,36-50,Karnataka,Personal,Doctor,Low
P06755,Male,50+,Andhra Pradesh,Business,IT Employee,Medium
P06756,Male,36-50,Karnataka,Business,Government Employee,Low
P06757,Female,50+,Maharashtra,Personal,Teacher,Medium
P06758,Female,36-50,Maharashtra,Personal,Doctor,Medium
P06759,Male,36-50,Maharashtra,Personal,Business Owner,High
P06760,Female,50+,Delhi,Business,Teacher,High
P06761,Female,50+,Telangana,Business,Doctor,High
P06762,Female,18-25,Delhi,Business,Student,High
P06763,Male,36-50,Andhra Pradesh,Business,Teacher,Low
P06764,Male,50+,Andhra Pradesh,Business,Doctor,Low
P06765,Female,50+,Karnataka,Business,Student,High
P06766,Female,18-25,Karnataka,Business,Business Owner,Low
P06767,Male,36-50,Andhra Pradesh,Business,Business Owner,Medium
P06768,Male,18-25,Maharashtra,Personal,Student,Low
P06769,Male,18-25,Maharashtra,Personal,IT Employee,Medium
P06770,Female,50+,Karnataka,Business,Student,Low
P06771,Female,18-25,Maharashtra,Personal,Government Employee,High
P06772,Male,50+,Maharashtra,Business,Government Employee,Low
P06773,Female,36-50,Maharashtra,Personal,Government Employee,Medium
P06774,Female,26-35,Telangana,Business,Teacher,Low
P06775,Male,36-50,Telangana,Business,Student,Low
P06776,Female,50+,Karnataka,Personal,Teacher,High
P06777,Male,26-35,Andhra Pradesh,Personal,Student,High
P06778,Male,26-35,Karnataka,Business,Student,Medium
P06779,Female,18-25,Karnataka,Personal,Doctor,Low
P06780,Male,36-50,Delhi,Business,Business Owner,Medium
P06781,Male,26-35,Andhra Pradesh,Personal,Student,High
P06782,Female,36-50,Telangana,Business,Student,Low
P06783,Female,36-50,Delhi,Business,Student,Low
P06784,Female,18-25,Maharashtra,Personal,Business Owner,Low
P06785,Female,26-35,Andhra Pradesh,Business,IT Employee,High
P06786,Male,26-35,Andhra Pradesh,Business,Teacher,Medium
P06787,Female,18-25,Telangana,Personal,IT Employee,High
P06788,Female,18-25,Telangana,Business,Teacher,Medium
P06789,Female,50+,Karnataka,Personal,Student,Low
P06790,Female,26-35,Delhi,Business,IT Employee,Low
P06791,Female,50+,Karnataka,Personal,Doctor,Low
P06792,Male,50+,Maharashtra,Personal,Government Employee,High
P06793,Male,26-35,Tamil Nadu,Personal,Student,Medium
P06794,Male,50+,Telangana,Personal,Teacher,Medium
P06795,Male,36-50,Maharashtra,Personal,Teacher,High
P06796,Male,50+,Karnataka,Personal,Teacher,High
P06797,Female,50+,Telangana,Business,Student,Medium
P06798,Female,26-35,Maharashtra,Business,Government Employee,High
P06799,Female,18-25,Tamil Nadu,Personal,Teacher,High
P06800,Female,18-25,Karnataka,Business,Government Employee,Low
P06801,Female,50+,Tamil Nadu,Personal,Business Owner,Medium
P06802,Male,26-35,Telangana,Personal,IT Employee,Low
P06803,Female,26-35,Tamil Nadu,Business,Business Owner,Medium
P06804,Male,50+,Maharashtra,Personal,Doctor,Low
P06805,Female,26-35,Tamil Nadu,Business,Government Employee,High
P06806,Female,50+,Delhi,Personal,IT Employee,Low
P06807,Female,50+,Telangana,Business,Government Employee,High
P06808,Male,36-50,Telangana,Personal,Business Owner,Medium
P06809,Male,50+,Karnataka,Personal,IT Employee,Medium
P06810,Male,26-35,Delhi,Business,Student,Medium
P06811,Female,26-35,Delhi,Personal,IT Employee,Medium
P06812,Female,18-25,Tamil Nadu,Personal,Doctor,Medium
P06813,Female,18-25,Delhi,Business,IT Employee,High
P06814,Male,18-25,Maharashtra,Business,IT Employee,Low
P06815,Male,26-35,Karnataka,Personal,Student,High
P06816,Female,26-35,Karnataka,Business,Government Employee,Low
P06817,Female,36-50,Maharashtra,Personal,Doctor,Medium
P06818,Male,18-25,Tamil Nadu,Personal,IT Employee,Low
P06819,Male,18-25,Tamil Nadu,Business,Teacher,Low
P06820,Female,50+,Tamil Nadu,Business,Doctor,Low
P06821,Male,18-25,Telangana,Business,Business Owner,Medium
P06822,Male,50+,Maharashtra,Business,Teacher,Medium
P06823,Female,26-35,Telangana,Business,Business Owner,Low
P06824,Female,50+,Karnataka,Personal,Business Owner,Low
P06825,Male,50+,Delhi,Business,IT Employee,Medium
P06826,Male,18-25,Tamil Nadu,Personal,Government Employee,High
P06827,Male,36-50,Andhra Pradesh,Business,Business Owner,High
P06828,Male,18-25,Maharashtra,Business,Doctor,High
P06829,Male,18-25,Karnataka,Business,Student,Medium
P06830,Male,18-25,Tamil Nadu,Business,Government Employee,Medium
P06831,Female,36-50,Karnataka,Personal,Teacher,Medium
P06832,Female,26-35,Maharashtra,Personal,Doctor,Low
P06833,Female,50+,Telangana,Business,Student,High
P06834,Male,36-50,Andhra Pradesh,Personal,Teacher,Medium
P06835,Female,50+,Telangana,Personal,Doctor,High
P06836,Female,36-50,Karnataka,Personal,Student,Low
P06837,Male,50+,Tamil Nadu,Personal,Government Employee,High
P06838,Male,36-50,Andhra Pradesh,Personal,Student,High
P06839,Female,18-25,Maharashtra,Business,Teacher,High
P06840,Female,18-25,Andhra Pradesh,Personal,Doctor,Low
P06841,Female,18-25,Andhra Pradesh,Business,Student,Low
P06842,Female,50+,Andhra Pradesh,Business,Teacher,Low
P06843,Female,18-25,Maharashtra,Business,Student,Medium
P06844,Female,50+,Tamil Nadu,Personal,Business Owner,High
P06845,Female,18-25,Andhra Pradesh,Business,Teacher,Low
P06846,Male,50+,Andhra Pradesh,Personal,Business Owner,High
P06847,Male,36-50,Andhra Pradesh,Business,IT Employee,Low
P06848,Female,36-50,Andhra Pradesh,Personal,Doctor,Low
P06849,Female,36-50,Andhra Pradesh,Personal,IT Employee,High
P06850,Male,18-25,Andhra Pradesh,Business,Government Employee,Low
P06851,Male,18-25,Maharashtra,Personal,Teacher,Low
P06852,Female,50+,Tamil Nadu,Personal,Teacher,Medium
P06853,Male,18-25,Tamil Nadu,Business,Teacher,Medium
P06854,Male,26-35,Maharashtra,Business,Student,Low
P06855,Female,36-50,Karnataka,Personal,Business Owner,Medium
P06856,Male,50+,Tamil Nadu,Business,Business Owner,High
P06857,Female,36-50,Maharashtra,Business,Business Owner,Low
P06858,Female,50+,Delhi,Personal,Student,Low
P06859,Male,18-25,Andhra Pradesh,Business,IT Employee,High
P06860,Female,50+,Tamil Nadu,Business,IT Employee,Medium
P06861,Female,26-35,Maharashtra,Personal,Teacher,High
P06862,Female,26-35,Delhi,Business,IT Employee,High
P06863,Female,26-35,Telangana,Personal,Teacher,Medium
P06864,Female,26-35,Delhi,Personal,Business Owner,Low
P06865,Female,26-35,Delhi,Personal,IT Employee,High
P06866,Female,50+,Maharashtra,Business,IT Employee,Medium
P06867,Male,18-25,Tamil Nadu,Business,Business Owner,Low
P06868,Male,50+,Delhi,Personal,Student,Medium
P06869,Female,50+,Karnataka,Business,IT Employee,Low
P06870,Male,50+,Maharashtra,Personal,Government Employee,Low
P06871,Female,18-25,Maharashtra,Business,Government Employee,High
P06872,Male,50+,Telangana,Business,Teacher,High
P06873,Male,50+,Andhra Pradesh,Business,Student,Medium
P06874,Male,50+,Maharashtra,Personal,Business Owner,Medium
P06875,Female,50+,Andhra Pradesh,Personal,Doctor,High
P06876,Male,26-35,Telangana,Personal,Government Employee,Medium
P06877,Female,18-25,Maharashtra,Business,Business Owner,High
P06878,Male,50+,Delhi,Business,Government Employee,Low
P06879,Male,26-35,Tamil Nadu,Personal,Business Owner,Medium
P06880,Male,50+,Tamil Nadu,Personal,Student,Low
P06881,Male,26-35,Tamil Nadu,Business,IT Employee,High
P06882,Female,36-50,Delhi,Personal,IT Employee,Low
P06883,Male,36-50,Karnataka,Personal,IT Employee,Medium
P06884,Male,50+,Karnataka,Personal,Teacher,High
P06885,Female,36-50,Karnataka,Personal,Teacher,High
P06886,Male,50+,Maharashtra,Personal,IT Employee,Medium
P06887,Female,18-25,Telangana,Personal,Government Employee,Medium
P06888,Male,26-35,Telangana,Personal,Business Owner,Low
P06889,Female,50+,Delhi,Personal,Student,Low
P06890,Male,26-35,Telangana,Business,Government Employee,Medium
P06891,Female,50+,Delhi,Business,IT Employee,Low
P06892,Female,18-25,Tamil Nadu,Personal,Doctor,Medium
P06893,Female,36-50,Karnataka,Personal,Doctor,Low
P06894,Female,26-35,Delhi,Personal,Student,Low
P06895,Male,26-35,Karnataka,Personal,Teacher,Low
P06896,Male,36-50,Telangana,Business,Doctor,High
P06897,Male,26-35,Telangana,Business,Student,Low
P06898,Female,18-25,Delhi,Business,Government Employee,High
P06899,Male,26-35,Andhra Pradesh,Business,Business Owner,High
P06900,Female,36-50,Delhi,Personal,Doctor,High
P06901,Female,50+,Tamil Nadu,Personal,Student,High
P06902,Male,50+,Maharashtra,Personal,Business Owner,High
P06903,Female,50+,Tamil Nadu,Personal,Business Owner,Low
P06904,Female,26-35,Andhra Pradesh,Business,Teacher,Medium
P06905,Male,50+,Maharashtra,Personal,Student,Medium
P06906,Female,50+,Maharashtra,Business,Teacher,Medium
P06907,Male,18-25,Andhra Pradesh,Personal,Business Owner,Medium
P06908,Male,50+,Andhra Pradesh,Personal,Student,Medium
P06909,Female,26-35,Andhra Pradesh,Business,IT Employee,Medium
P06910,Male,36-50,Maharashtra,Business,Teacher,Medium
P06911,Male,18-25,Delhi,Business,Business Owner,Medium
P06912,Female,50+,Telangana,Personal,Student,Low
P06913,Male,26-35,Telangana,Personal,IT Employee,Medium
P06914,Male,26-35,Maharashtra,Business,Student,Low
P06915,Female,18-25,Delhi,Personal,Student,High
P06916,Male,18-25,Maharashtra,Business,Business Owner,Low
P06917,Female,18-25,Delhi,Personal,IT Employee,Medium
P06918,Male,18-25,Tamil Nadu,Personal,Student,High
P06919,Male,36-50,Delhi,Business,Doctor,Low
P06920,Male,18-25,Tamil Nadu,Business,Teacher,High
P06921,Female,18-25,Andhra Pradesh,Personal,Business Owner,Low
P06922,Female,26-35,Maharashtra,Personal,Teacher,Low
P06923,Female,26-35,Andhra Pradesh,Business,IT Employee,High
P06924,Female,26-35,Karnataka,Personal,IT Employee,Medium
P06925,Male,26-35,Telangana,Business,IT Employee,Medium
P06926,Male,26-35,Maharashtra,Personal,Government Employee,High
P06927,Male,36-50,Telangana,Business,Doctor,Medium
P06928,Female,18-25,Andhra Pradesh,Personal,IT Employee,Low
P06929,Female,18-25,Andhra Pradesh,Personal,Student,Medium
P06930,Female,36-50,Maharashtra,Personal,Student,Medium
P06931,Female,26-35,Delhi,Business,Government Employee,Medium
P06932,Male,50+,Telangana,Personal,Business Owner,Low
P06933,Female,26-35,Maharashtra,Personal,Business Owner,Medium
P06934,Female,26-35,Tamil Nadu,Business,Teacher,Low
P06935,Female,18-25,Andhra Pradesh,Personal,Business Owner,Medium
P06936,Female,18-25,Telangana,Business,Student,Medium
P06937,Female,26-35,Andhra Pradesh,Personal,Teacher,High
P06938,Female,50+,Tamil Nadu,Business,Business Owner,Medium
P06939,Male,26-35,Maharashtra,Business,Student,Medium
P06940,Female,18-25,Karnataka,Personal,Doctor,High
P06941,Female,18-25,Delhi,Personal,Government Employee,Low
P06942,Male,36-50,Tamil Nadu,Personal,Student,High
P06943,Male,36-50,Maharashtra,Business,Business Owner,High
P06944,Male,26-35,Andhra Pradesh,Business,Student,Medium
P06945,Female,50+,Tamil Nadu,Personal,Government Employee,High
P06946,Male,26-35,Delhi,Business,Student,Medium
P06947,Female,36-50,Maharashtra,Business,Doctor,Medium
P06948,Male,36-50,Maharashtra,Personal,IT Employee,Low
P06949,Male,26-35,Delhi,Business,Student,High
P06950,Male,36-50,Delhi,Business,Student,High
P06951,Male,18-25,Delhi,Personal,IT Employee,Low
P06952,Female,18-25,Andhra Pradesh,Personal,Doctor,Low
P06953,Male,26-35,Telangana,Personal,Doctor,Low
P06954,Female,50+,Delhi,Personal,IT Employee,High
P06955,Female,18-25,Tamil Nadu,Business,Doctor,Low
P06956,Female,50+,Karnataka,Personal,Student,Low
P06957,Male,50+,Telangana,Personal,Business Owner,High
P06958,Male,26-35,Karnataka,Personal,Doctor,Low
P06959,Male,36-50,Telangana,Business,Doctor,Low
P06960,Female,36-50,Karnataka,Personal,Business Owner,Medium
P06961,Female,36-50,Delhi,Business,Doctor,Medium
P06962,Female,36-50,Andhra Pradesh,Business,Doctor,High
P06963,Male,50+,Karnataka,Business,Doctor,Low
P06964,Female,36-50,Tamil Nadu,Personal,Teacher,High
P06965,Female,18-25,Maharashtra,Personal,Doctor,High
P06966,Female,18-25,Delhi,Personal,Student,High
P06967,Female,50+,Andhra Pradesh,Personal,IT Employee,Low
P06968,Female,26-35,Maharashtra,Business,Doctor,Medium
P06969,Male,26-35,Tamil Nadu,Business,Government Employee,Medium
P06970,Female,50+,Telangana,Business,IT Employee,Low
P06971,Female,50+,Tamil Nadu,Business,Teacher,Low
P06972,Male,50+,Delhi,Personal,Business Owner,High
P06973,Female,36-50,Maharashtra,Business,Student,Low
P06974,Male,36-50,Tamil Nadu,Personal,Doctor,Medium
P06975,Male,50+,Delhi,Business,Government Employee,High
P06976,Male,50+,Telangana,Business,Student,Medium
P06977,Male,36-50,Maharashtra,Personal,Government Employee,High
P06978,Female,36-50,Andhra Pradesh,Personal,Doctor,Medium
P06979,Male,36-50,Tamil Nadu,Personal,Business Owner,High
P06980,Female,36-50,Delhi,Personal,Teacher,Low
P06981,Female,26-35,Maharashtra,Business,IT Employee,Low
P06982,Male,26-35,Andhra Pradesh,Personal,Teacher,High
P06983,Female,26-35,Telangana,Personal,Student,Low
P06984,Male,50+,Telangana,Business,Student,High
P06985,Female,50+,Telangana,Business,Business Owner,High
P06986,Female,18-25,Karnataka,Business,Business Owner,High
P06987,Male,36-50,Karnataka,Business,Student,High
P06988,Female,36-50,Telangana,Personal,Teacher,Low
P06989,Female,50+,Andhra Pradesh,Business,Student,Low
P06990,Male,18-25,Tamil Nadu,Personal,Business Owner,High
P06991,Female,50+,Andhra Pradesh,Personal,Doctor,Low
P06992,Male,18-25,Telangana,Business,Doctor,Medium
P06993,Female,50+,Tamil Nadu,Personal,Teacher,Low
P06994,Female,50+,Andhra Pradesh,Business,Government Employee,Medium
P06995,Male,50+,Karnataka,Business,Student,Low
P06996,Male,36-50,Tamil Nadu,Business,Teacher,Low
P06997,Male,18-25,Tamil Nadu,Business,Doctor,Medium
P06998,Female,26-35,Maharashtra,Personal,Student,High
P06999,Male,26-35,Telangana,Personal,Business Owner,Medium
P07000,Male,26-35,Tamil Nadu,Personal,Government Employee,Medium
P07001,Male,36-50,Delhi,Personal,Business Owner,Low
P07002,Male,18-25,Karnataka,Personal,Teacher,High
P07003,Female,26-35,Maharashtra,Personal,IT Employee,Low
P07004,Female,18-25,Karnataka,Personal,Student,Low
P07005,Male,18-25,Maharashtra,Business,Doctor,Medium
P07006,Female,18-25,Andhra Pradesh,Business,Business Owner,High
P07007,Female,36-50,Tamil Nadu,Personal,Student,Medium
P07008,Female,50+,Delhi,Personal,Business Owner,Medium
P07009,Male,36-50,Karnataka,Personal,Business Owner,High
P07010,Female,50+,Karnataka,Personal,Student,High
P07011,Female,36-50,Maharashtra,Business,Teacher,Medium
P07012,Male,50+,Maharashtra,Personal,Business Owner,High
P07013,Male,18-25,Tamil Nadu,Personal,Doctor,High
P07014,Female,26-35,Andhra Pradesh,Personal,Teacher,High
P07015,Female,36-50,Telangana,Personal,IT Employee,Medium
P07016,Male,18-25,Delhi,Personal,Business Owner,Low
P07017,Female,18-25,Karnataka,Personal,Teacher,Medium
P07018,Male,26-35,Tamil Nadu,Business,Government Employee,Low
P07019,Male,50+,Maharashtra,Personal,Government Employee,Medium
P07020,Male,18-25,Telangana,Personal,Government Employee,Low
P07021,Female,36-50,Tamil Nadu,Personal,Student,High
P07022,Female,36-50,Tamil Nadu,Business,IT Employee,Medium
P07023,Male,50+,Karnataka,Personal,Teacher,High
P07024,Female,50+,Telangana,Personal,IT Employee,Low
P07025,Female,50+,Delhi,Personal,Government Employee,Low
P07026,Female,50+,Karnataka,Personal,Business Owner,Low
P07027,Female,50+,Karnataka,Business,Government Employee,Medium
P07028,Male,36-50,Andhra Pradesh,Business,Government Employee,Low
P07029,Female,36-50,Tamil Nadu,Business,Teacher,High
P07030,Female,36-50,Karnataka,Personal,Government Employee,Medium
P07031,Female,18-25,Delhi,Personal,Student,High
P07032,Male,36-50,Delhi,Personal,Business Owner,Medium
P07033,Male,50+,Andhra Pradesh,Personal,Business Owner,Medium
P07034,Male,36-50,Andhra Pradesh,Business,IT Employee,High
P07035,Female,50+,Telangana,Personal,Doctor,Medium
P07036,Male,18-25,Karnataka,Business,IT Employee,High
P07037,Male,26-35,Telangana,Personal,Business Owner,Medium
P07038,Male,26-35,Andhra Pradesh,Business,Government Employee,Medium
P07039,Male,36-50,Andhra Pradesh,Personal,IT Employee,Low
P07040,Male,26-35,Tamil Nadu,Business,Student,Medium
P07041,Female,50+,Maharashtra,Personal,Student,Medium
P07042,Female,36-50,Delhi,Business,Teacher,High
P07043,Female,18-25,Karnataka,Business,Business Owner,Medium
P07044,Female,18-25,Telangana,Business,Doctor,Medium
P07045,Male,26-35,Andhra Pradesh,Business,Business Owner,Medium
P07046,Male,36-50,Maharashtra,Business,Teacher,Low
P07047,Male,26-35,Karnataka,Business,Doctor,Low
P07048,Female,36-50,Karnataka,Business,IT Employee,High
P07049,Female,26-35,Delhi,Personal,IT Employee,Medium
P07050,Male,50+,Karnataka,Personal,Business Owner,Low
P07051,Male,26-35,Andhra Pradesh,Business,IT Employee,Medium
P07052,Female,18-25,Tamil Nadu,Personal,Teacher,High
P07053,Female,26-35,Tamil Nadu,Business,Government Employee,High
P07054,Female,36-50,Andhra Pradesh,Personal,Business Owner,Medium
P07055,Male,18-25,Maharashtra,Personal,Teacher,Medium
P07056,Female,36-50,Telangana,Business,Student,Low
P07057,Female,18-25,Tamil Nadu,Personal,Doctor,High
P07058,Female,36-50,Tamil Nadu,Business,IT Employee,Medium
P07059,Female,26-35,Telangana,Personal,Business Owner,Low
P07060,Male,36-50,Delhi,Business,Government Employee,High
P07061,Male,50+,Delhi,Personal,Government Employee,Medium
P07062,Male,26-35,Delhi,Business,Student,Medium
P07063,Male,18-25,Tamil Nadu,Business,Business Owner,Low
P07064,Male,36-50,Tamil Nadu,Business,Business Owner,High
